date,lat,lon,ndvi,ndwi,ndbi,nbr,no2,so2,co,o3,temperature,dewpoint,wind_speed,rainfall,lst,temp_diff,pollution_index,green_inverse,aqi,heat_score,flood_score,veg_score
2023-01-01,23.02,72.57,0.1909602241432119,-0.24751225231205481,0.02486737747917883,0.05966690633322805,0.00010033740387350353,,,,19.20678304771468,7.700716242119597,2.2057643280976995,0.0,23.435635687556996,11.506066805595083,0.00010033740387350353,0.8090397758567881,5.0168701936751764e-05,28.249004036436418,0.0,19.09602241432119
2023-01-01,17.38,78.48,0.1325465831817547,-0.12807858962967658,0.0051181987854841265,0.08337713994684634,6.418471079707216e-05,,,,23.861894503033852,15.092653328397944,0.8068078247724295,0.0,32.37939316421658,8.769241174635908,6.418471079707216e-05,0.8674534168182453,3.209235539853608e-05,41.72555276920489,0.0,13.25465831817547
2023-01-01,12.97,77.59,0.26669528917996277,-0.2716468658330385,-0.007724925480078486,0.1333396320145093,5.364130571289507e-05,,,,20.209880620924537,12.929403266766712,2.1964641849698427,0.0,28.013663082847938,7.280477354157824,5.364130571289507e-05,0.7333047108200372,2.6820652856447536e-05,32.38659419483048,0.0,26.669528917996278
2023-01-01,11.01,76.96,0.2642855733794647,-0.2631072746236477,-0.0356457875301678,0.16078914670067357,3.567965720222004e-05,,,,22.68130999106654,14.02313318875565,1.5081755772017136,0.0,32.240439601940956,8.65817680231089,3.567965720222004e-05,0.7357144266205353,1.783982860111002e-05,38.017180426574214,0.0,26.42855733794647
2023-01-01,9.93,76.26,0.017863457171829217,0.09899558578089415,-0.22218322614960592,0.3606045232398533,4.763415676245684e-05,,,,26.112645422243588,21.13958500132844,0.7415688251170881,0.0,29.686068526812125,4.9730604209151466,4.763415676245684e-05,0.9821365428281708,2.381707838122842e-05,48.255622983795426,0.0,1.7863457171829218
2023-01-03,13.08,80.27,0.17110520166140566,-0.1300187285559143,0.056004097732609226,0.054476734615990764,3.1808367377717905e-05,,,,24.314862739952844,20.59839793852649,2.5436368426643328,0.0,32.731193129838054,3.716464801426355,3.1808367377717905e-05,0.8288947983385944,1.5904183688858953e-05,41.68421939386384,0.0,17.110520166140567
2023-01-03,22.57,88.36,0.06309157037917505,-0.06734069571640793,-0.055785670921652944,0.16745571023138286,8.276360566106945e-05,,,,19.03102076024186,13.01200830907004,2.404416923315065,0.0,25.121284263792305,6.019012451171818,8.276360566106945e-05,0.936908429620825,4.138180283053473e-05,30.24370144826768,0.0,6.3091570379175055
2023-01-03,17.38,78.48,0.1325465831817547,-0.12807858962967658,0.0051181987854841265,0.08337713994684634,5.721784155361353e-05,,,,22.751973061804563,14.824701037906209,1.8841349534277874,0.0,32.37939316421658,7.927272023898354,5.721784155361353e-05,0.8674534168182453,2.8608920776806765e-05,37.77204020480438,0.0,13.25465831817547
2023-01-03,12.97,77.59,0.26669528917996277,-0.2716468658330385,-0.007724925480078486,0.1333396320145093,5.7120535774709085e-05,,,,19.890315249072273,14.018460218724613,2.557474145332858,0.0,28.013663082847938,5.87185503034766,5.7120535774709085e-05,0.7333047108200372,2.8560267887354543e-05,31.729754692305,0.0,26.669528917996278
2023-01-03,18.52,73.85,0.26879356851212927,-0.2672663137704939,-0.016660836075563595,0.16016349741858454,9.073207618830994e-05,,,,22.821523005564586,14.108269127963695,0.17615459680770923,0.0,27.519070651706418,8.713253877600891,9.073207618830994e-05,0.7312064314878708,4.536603809415497e-05,40.93410987871331,0.0,26.879356851212926
2023-01-03,26.91,75.78,0.27432160841957853,-0.3453613766886091,0.025440433036834197,0.051714362896898125,0.0001096900122378565,,,,11.965047983201544,6.489626977650516,1.8236257893074104,5.699367623580129,22.14071857727503,5.475421005551027,0.0001096900122378565,0.7256783915804215,5.484500611892825e-05,17.545133885012753,11.398735247160259,27.432160841957852
2023-01-03,30.73,76.77,0.024130800192591884,-0.009064455454885824,-0.06916428497866461,0.13518641039068766,0.0001465388736704506,,,,10.251092800785841,5.860109496272514,1.378645131305937,0.0,6.0905977403283655,4.390983304513327,0.0001465388736704506,0.9758691998074082,7.32694368352253e-05,15.549403686703144,0.0,2.4130800192591884
2023-01-03,11.01,76.96,0.2642855733794647,-0.2631072746236477,-0.0356457875301678,0.16078914670067357,3.498328674641419e-05,,,,22.065751008971404,14.341888867351088,1.9989046585405343,0.0,32.240439601940956,7.723862141620316,3.498328674641419e-05,0.7357144266205353,1.7491643373207095e-05,36.27176163005158,0.0,26.42855733794647
2023-01-03,9.93,76.26,0.026685505952251,0.09141702266212776,-0.24635399245983933,0.4087666557822682,4.950153007749398e-05,,,,25.75067410936549,20.29512580422795,0.7133423275812294,0.0,29.686068526812125,5.45554830513754,4.950153007749398e-05,0.973314494047749,2.475076503874699e-05,47.34688941099975,0.0,2.6685505952251
2023-01-05,13.08,80.27,0.17110520166140566,-0.1300187285559143,0.056004097732609226,0.054476734615990764,3.302962817128521e-05,,,,25.54915084653237,20.278325332864426,4.121433713440622,1.0376713880308117,32.731193129838054,5.270825513667944,3.302962817128521e-05,0.8288947983385944,1.6514814085642605e-05,40.22002150934952,2.0753427760616234,17.110520166140567
2023-01-05,23.02,72.57,0.14851469772175135,-0.17980348420941908,0.019994970645963363,0.05514179457201086,6.267775590344448e-05,,,,18.81870570541122,7.123451827532563,4.292823355550846,0.0,23.435635687556996,11.695253877878656,6.267775590344448e-05,0.8514853022782487,3.133887795172224e-05,23.204137760781418,0.0,14.851469772175136
2023-01-07,19.07,72.87,0.08880151109411757,-0.08514366143932654,-0.05841119222042696,0.14514333944927693,0.00016847763276810557,,,,25.983659903682963,19.438877948362574,1.8885353961772249,0.0,31.057140402411804,6.5447819553203885,0.00016847763276810557,0.9111984889058824,8.423881638405278e-05,44.91785803735128,0.0,8.880151109411758
2023-01-07,22.57,88.36,0.17112611444483003,-0.2072534758324413,0.0023994376727198273,0.07810420674485036,9.593846288077593e-05,,,,16.819155134978132,11.391333186773636,2.6778889202456626,0.0,25.121284263792305,5.427821948204496,9.593846288077593e-05,0.8288738855551699,4.796923144038797e-05,25.568621455362692,0.0,17.112611444483004
2023-01-07,23.02,72.57,0.14851469772175135,-0.17980348420941908,0.019994970645963363,0.05514179457201086,0.0001164150962559332,,,,22.450191930723122,13.606078979551,2.5751002983242173,0.0,25.121390779973343,8.844112951172121,0.0001164150962559332,0.8514853022782487,5.82075481279666e-05,35.32812678921175,0.0,14.851469772175136
2023-01-07,18.52,73.85,0.3521657302498795,-0.3812809029045893,-0.013819890862934954,0.16233866288220167,7.60239614579827e-05,,,,21.84860503817623,14.895606494856281,2.48587881399842,0.0,27.519070651706418,6.95299854331995,7.60239614579827e-05,0.6478342697501205,3.801198072899135e-05,35.24895317669565,0.0,35.21657302498795
2023-01-07,21.17,72.83,0.10559919974266829,-0.12344336868288878,-0.0021724919601679407,0.07720694240247954,8.637018452735435e-05,,,,24.581879120352994,17.018096314436264,2.8707076170814805,0.0,28.96707387213765,7.5637828059167305,8.637018452735435e-05,0.8944008002573317,4.3185092263677175e-05,39.640451603584665,0.0,10.55991997426683
2023-01-07,26.91,75.78,0.23574299781527086,-0.31266270138769603,0.05392676814104418,0.043531274871174565,8.474258622821316e-05,,,,10.924656299260164,3.9910017028066136,0.6933787511871413,0.0,22.14071857727503,6.93365459645355,8.474258622821316e-05,0.7642570021847291,4.237129311410658e-05,16.99572779791927,0.0,23.574299781527085
2023-01-09,22.57,88.36,0.17112611444483003,-0.2072534758324413,0.0023994376727198273,0.07810420674485036,0.00013684022361223428,,,,18.28549323376319,13.278912480672261,2.1939439695674823,0.0,25.121284263792305,5.00658075309093,0.00013684022361223428,0.8288738855551699,6.842011180611714e-05,29.679808151845954,0.0,17.112611444483004
2023-01-11,19.07,72.87,0.2434000251973965,-0.3008162664578543,0.010187026255293349,0.09297910405151248,0.0002608672025038213,,,,23.18896821055256,16.44609227156758,2.497701359709583,0.0,31.057140402411804,6.74287593898498,0.0002608672025038213,0.7565999748026035,0.00013043360125191065,38.01109573219346,0.0,24.340002519739652
2023-01-11,23.02,72.57,0.13241528123592944,-0.16461442038000845,0.031463148316980175,0.0544569797661515,7.542590827943967e-05,,,,21.630222599860133,11.024741108477258,1.6901338243684865,0.0,25.121390779973343,10.605481491382875,7.542590827943967e-05,0.8675847187640706,3.771295413971984e-05,34.57743680529185,0.0,13.241528123592945
2023-01-11,17.38,78.48,0.19495880406421942,-0.22776036930271057,0.021215288676456636,0.05336801916200058,0.0001241962785279259,,,,20.770689244276127,8.645694697013255,0.6371744340864473,0.0,31.042458658272455,12.124994547262872,0.0001241962785279259,0.8050411959357806,6.209813926396295e-05,34.204532346747925,0.0,19.495880406421943
2023-01-11,21.17,72.83,0.14973928313818624,-0.19422888461079818,0.017700037161926106,0.06252443033232608,0.00010421494826803417,,,,22.015786383287036,13.20237225946397,1.848018061407998,0.0,28.96707387213765,8.813414123823065,0.00010421494826803417,0.8502607168618137,5.210747413401708e-05,35.92882958184654,0.0,14.973928313818623
2023-01-11,9.93,76.26,0.005953414721674207,0.11028997287510292,-0.1959637961300985,0.3123111521648752,4.458333504715729e-05,,,,25.46222757077686,20.814187135883458,1.096240301510241,0.0,29.699543063079336,4.648040434893403,4.458333504715729e-05,0.9940465852783258,2.2291667523578646e-05,46.407954321086535,0.0,0.5953414721674207
2023-01-13,28.61,77.2,0.27864510095400974,-0.28631088797417703,-0.07303514687168798,0.20897129139541407,0.00012855497298297158,,,,14.593695836632094,12.333217364290874,0.5271935539395028,0.0,17.223292732433322,2.2604784723412195,0.00012855497298297158,0.7213548990459903,6.427748649148579e-05,27.002765329214572,0.0,27.864510095400973
2023-01-13,13.08,80.27,0.16910627096676004,-0.10955585836963039,-0.06068453119151633,0.14766102926122998,8.856300899145335e-05,,,,23.258229489106043,18.521542833611363,1.1543146423801935,0.0,34.15560434790779,4.73668665549468,8.856300899145335e-05,0.83089372903324,4.428150449572667e-05,41.83948636570436,0.0,16.910627096676002
2023-01-13,17.38,78.48,0.19495880406421942,-0.22776036930271057,0.021215288676456636,0.05336801916200058,8.956360404566004e-05,,,,22.0356932496623,11.36981159429024,1.4328105880325848,0.0,31.042458658272455,10.665881655372061,8.956360404566004e-05,0.8050411959357806,4.478180202283002e-05,35.872824495573404,0.0,19.495880406421943
2023-01-15,19.07,72.87,0.19911590996818287,-0.22748170419705746,-0.03000914100061119,0.09806022267115351,0.00028503123618660325,,,,21.435255134165004,14.406761755872196,2.965176482727952,0.0,31.057140402411804,7.028493378292808,0.00028503123618660325,0.8008840900318172,0.00014251561809330163,33.4259106137277,0.0,19.911590996818287
2023-01-15,13.08,80.27,0.16910627096676004,-0.10955585836963039,-0.06068453119151633,0.14766102926122998,7.567156128292089e-05,,,,22.04977779806103,17.427797581099583,0.927137447178074,0.0,34.15560434790779,4.621980216961447,7.567156128292089e-05,0.83089372903324,3.783578064146044e-05,39.93429059328519,0.0,16.910627096676002
2023-01-15,23.02,72.57,0.19877115090879863,-0.247961714987758,0.007191326673493586,0.054915694435542,9.220937830764447e-05,,,,17.108640444393586,4.055197242780935,2.3352198296847373,0.0,25.60106894282973,13.053443201612652,9.220937830764447e-05,0.8012288490912014,4.6104689153822236e-05,23.020119628611372,0.0,19.87711509087986
2023-01-15,21.17,72.83,0.18645074747267537,-0.2528028571670875,0.015614235489370767,0.04574994024455812,0.00011353831671497069,,,,20.422686405301874,9.062524354083052,4.154934712517013,0.0,28.96707387213765,11.360162051218822,0.00011353831671497069,0.8135492525273247,5.6769158357485346e-05,26.85542235996031,0.0,18.645074747267536
2023-01-15,9.93,76.26,0.023468623386763532,0.05088001045508677,-0.13731100250790357,0.26026074304098373,3.924622101573229e-05,,,,26.00161944370643,21.237911890067323,0.6139515342190138,0.0,29.699543063079336,4.763707553639108,3.924622101573229e-05,0.9765313766132364,1.9623110507866145e-05,48.393482042155284,0.0,2.3468623386763534
2023-01-17,28.61,77.2,0.34084340467987123,-0.3679968082429606,-0.023556478512199608,0.1572177247687929,0.0005252933948497195,,,,9.610533163703735,2.008295869301037,2.513756275676503,6.580765807523137,17.223292732433322,7.602237294402698,0.0005252933948497195,0.6591565953201288,0.00026264669742485973,10.392435128853116,13.161531615046274,34.084340467987126
2023-01-17,22.57,88.36,0.03773474660044323,-0.07083575033375443,-0.01442582431302919,0.15006867150546338,7.448226438675054e-05,,,,19.225291400485617,13.860184841391515,1.692025629586133,0.0,29.24389429461846,5.365106559094102,7.448226438675054e-05,0.9622652533995568,3.724113219337527e-05,32.383978262251915,0.0,3.773474660044323
2023-01-17,26.85,80.95,0.26461253579892985,-0.27225156303570935,-0.039136996255686354,0.15856883086422915,6.017443615848933e-05,,,,11.492952384435625,6.173364585682634,2.221415821222559,0.0,19.178353585058208,5.319587798752991,6.017443615848933e-05,0.7353874642010702,3.0087218079244664e-05,15.883279227049638,0.0,26.461253579892986
2023-01-17,23.02,72.57,0.19877115090879863,-0.247961714987758,0.007191326673493586,0.054915694435542,8.674257104742571e-05,,,,17.840200688797665,4.704780038381614,2.7143823170738313,0.0,26.08074710568567,13.135420650416052,8.674257104742571e-05,0.8012288490912014,4.3371285523712856e-05,23.683926418239643,0.0,19.87711509087986
2023-01-17,17.38,78.48,0.20260693040237648,-0.23768011192473742,0.019916799091037902,0.037507450572860875,8.182575449870369e-05,,,,21.901621229353168,8.465496108678337,2.5641132806294937,0.0,31.042458658272455,13.43612512067483,8.182575449870369e-05,0.7973930695976235,4.0912877249351846e-05,31.956953337109933,0.0,20.260693040237648
2023-01-17,12.97,77.59,0.3159512301229614,-0.34050860538377076,-0.006203709437334394,0.10115505104877517,8.457472251520853e-05,,,,19.281121123464516,8.753410132200827,1.9965154505323839,0.0,29.608549683474095,10.527710991263689,8.457472251520853e-05,0.6840487698770386,4.2287361257604265e-05,29.30535585023242,0.0,31.59512301229614
2023-01-17,18.52,73.85,0.2929764866812736,-0.3243580341196026,0.010279084844296618,0.13294942661745654,8.936099888117954e-05,,,,22.017736693829136,8.972317418330874,1.0343317481008723,0.0,31.322492136347588,13.045419275498261,8.936099888117954e-05,0.7070235133187264,4.468049944058977e-05,35.4441002537074,0.0,29.29764866812736
2023-01-17,26.91,75.78,0.21729509658158394,-0.28785255301052326,0.05711141808113003,0.03007013291533748,8.840887268987995e-05,,,,10.436815690341177,-1.876683644217735,1.5333608404573211,0.0,20.38612566868635,12.313499334558912,8.840887268987995e-05,0.782704903418416,4.4204436344939977e-05,11.650160032488255,0.0,21.729509658158396
2023-01-17,11.01,76.96,0.29017957622027346,-0.3025176036165109,-0.01333491421427332,0.1265056498266749,3.667726918150222e-05,,,,22.13946004321224,11.45286323828509,1.7576114495665687,0.0,27.6390159337673,10.686596804927149,3.667726918150222e-05,0.7098204237797265,1.833863459075111e-05,35.42039878482777,0.0,29.017957622027346
2023-01-17,9.93,76.26,0.02818285913002759,0.07870856300119092,-0.2388592780291638,0.380599759313257,4.878212682918186e-05,,,,26.164571941600173,21.55913984261315,1.099992485150177,0.0,29.699543063079336,4.605432098987023,4.878212682918186e-05,0.9718171408699724,2.439106341459093e-05,47.82644286340648,0.0,2.818285913002759
2023-01-19,13.08,80.27,0.0169740203449227,0.007512182394250995,-0.12594706057839666,0.23896156034607488,4.857721902835713e-05,,,,24.237800996321027,17.68835813424886,2.348473731858092,0.0,34.15560434790779,6.549442862072169,4.857721902835713e-05,0.9830259796550773,2.4288609514178565e-05,40.503933097889785,0.0,1.69740203449227
2023-01-19,22.57,88.36,0.03773474660044323,-0.07083575033375443,-0.01442582431302919,0.15006867150546338,9.372922041693366e-05,,,,18.541847035914316,13.042925818172478,2.0211459971152976,0.0,29.24389429461846,5.498921217741838,9.372922041693366e-05,0.9622652533995568,4.686461020846683e-05,30.291941468727117,0.0,3.773474660044323
2023-01-19,18.52,73.85,0.2929764866812736,-0.3243580341196026,0.010279084844296618,0.13294942661745654,9.242720463320003e-05,,,,23.101764827177192,10.807913710528169,0.4887836334204309,0.0,31.322492136347588,12.293851116649023,9.242720463320003e-05,0.7070235133187264,4.621360231660002e-05,39.07903682918901,0.0,29.29764866812736
2023-01-19,26.91,75.78,0.21729509658158394,-0.28785255301052326,0.05711141808113003,0.03007013291533748,5.476583953104669e-05,,,,13.00672703747341,2.5576350405154926,2.1954082278247675,0.12504315990349749,20.38612566868635,10.449091996957918,5.476583953104669e-05,0.782704903418416,2.7382919765523347e-05,16.398091620818327,0.25008631980699497,21.729509658158396
2023-01-21,23.02,72.57,0.18247988477754348,-0.23327175674886377,0.015855979434082384,0.06712427397828666,0.00012355608107963382,,,,18.92540622409831,5.561099578328253,2.2941922856819454,0.0,26.08074710568567,13.364306645770057,0.00012355608107963382,0.8175201152224565,6.177804053981691e-05,26.580274553947703,0.0,18.247988477754348
2023-01-21,25.61,85.14,-0.026297719633796568,0.06584153846906443,-0.16845232118841413,0.22856802166275159,7.280467367532682e-05,,,,17.42821073800036,12.861069608440744,1.240578354695647,0.0,15.795585642418246,4.567141129559616,7.280467367532682e-05,1.0262977196337966,3.640233683766341e-05,30.09169420182962,0.0,-2.629771963379657
2023-01-23,22.57,88.36,0.06369728215025917,-0.09715377798696812,-0.034193898699089474,0.1594620332990986,0.00012871861458563306,,,,22.435071116317943,17.021182067305972,0.548221276531316,0.0,29.24389429461846,5.413889049011971,0.00012871861458563306,0.9363027178497408,6.435930729281653e-05,41.06675515506727,0.0,6.369728215025917
2023-01-23,18.52,73.85,0.29366116794767766,-0.3295495725861412,0.018347335083958468,0.1114002276023205,8.270348466965685e-05,,,,21.32223211565514,11.519780270964645,0.953089035420851,0.0,31.322492136347588,9.802451844690495,8.270348466965685e-05,0.7063388320523223,4.1351742334828425e-05,35.83706023812333,0.0,29.366116794767766
2023-01-23,25.61,85.14,0.12468352861151005,-0.12145670766819312,-0.030732905647785982,0.12186626566253694,6.41702016559269e-05,,,,19.033549553676437,14.550493955213938,0.6851481816608606,0.0,15.795585642418246,4.483055598462499,6.41702016559269e-05,0.87531647138849,3.208510082796345e-05,34.4552749447999,0.0,12.468352861151006
2023-01-25,19.07,72.87,0.184184253569898,-0.23651014406863322,0.01461386458790127,0.07228624946271191,0.00015391962068513578,,,,21.7705273965106,11.806207095094067,5.237000380911705,0.0,34.644750464888205,9.964320301416535,0.00015391962068513578,0.815815746430102,7.695981034256789e-05,28.084893880489524,0.0,18.4184253569898
2023-01-25,23.02,72.57,0.18645671539546663,-0.24352953624884432,0.022642419131139662,0.04496244068538607,9.882676535852929e-05,,,,17.63331890436956,4.1075591739661945,3.088179526431759,0.0,28.178222620291443,13.525759730403365,9.882676535852929e-05,0.8135432846045334,4.941338267926464e-05,22.32739889067392,0.0,18.64567153954666
2023-01-25,21.17,72.83,0.1798997781133959,-0.26225956547325296,0.03888910700734164,0.031096969210891265,8.305606574677007e-05,,,,19.596905980620022,8.92994764555931,4.5665862748465065,0.0,29.736964104282023,10.666958335060713,8.305606574677007e-05,0.8201002218866041,4.152803287338504e-05,24.727160244016673,0.0,17.98997781133959
2023-01-25,25.61,85.14,0.07688841822615651,-0.06879355292454216,-0.008899727129168781,0.07852587407589594,6.001732144895924e-05,,,,19.681033286671834,15.634953160094085,0.6140372388768766,0.0,15.795585642418246,4.046080126577749,6.001732144895924e-05,0.9231115817738434,3.000866072447962e-05,36.11095203230104,0.0,7.688841822615651
2023-01-27,19.07,72.87,0.184184253569898,-0.23651014406863322,0.01461386458790127,0.07228624946271191,0.00018656890391771053,,,,25.140241089626386,18.639541083188874,1.3593773299512621,0.0,34.644750464888205,6.500700006437512,0.00018656890391771053,0.815815746430102,9.328445195885527e-05,44.31137751613149,0.0,18.4184253569898
2023-01-27,26.85,80.95,0.320902568542972,-0.3285514916715468,-0.034077818929027635,0.15067336046031624,5.9901108723998176e-05,,,,15.610084719579504,10.951842569485223,3.4948438376712327,0.0,24.57933919624276,4.658242150094281,5.9901108723998176e-05,0.679097431457028,2.9950554361999088e-05,21.9013606887694,0.0,32.0902568542972
2023-01-27,23.02,72.57,0.18645671539546663,-0.24352953624884432,0.022642419131139662,0.04496244068538607,8.579941415180672e-05,,,,20.59958379521305,10.875591139894482,3.741120418097823,0.0,28.178222620291443,9.723992655318568,8.579941415180672e-05,0.8135432846045334,4.289970707590336e-05,28.85493042657117,0.0,18.64567153954666
2023-01-27,17.38,78.48,0.1931713768314051,-0.2304872962516642,0.03824038861241394,0.020565526010925334,7.079212474592681e-05,,,,22.191901698841264,10.888561311822116,1.8666207237279557,0.0,33.547255239455154,11.303340387019148,7.079212474592681e-05,0.8068286231685949,3.539606237296341e-05,34.99889175671704,0.0,19.31713768314051
2023-01-27,12.97,77.59,0.290970396272729,-0.32353356933468586,0.016200677571759692,0.06873815995920972,7.118622470010155e-05,,,,19.74567314873235,10.986836890442817,2.30102313711165,0.0,33.56304079711988,8.758836258289534,7.118622470010155e-05,0.709029603727271,3.5593112350050774e-05,30.509881894096637,0.0,29.097039627272903
2023-01-27,21.17,72.83,0.1798997781133959,-0.26225956547325296,0.03888910700734164,0.031096969210891265,8.026300493140407e-05,,,,24.241460082815934,16.612346735540484,4.16546059172122,0.0,29.736964104282023,7.6291133472754495,8.026300493140407e-05,0.8201002218866041,4.0131502465702034e-05,36.3374423085517,0.0,17.98997781133959
2023-01-27,25.61,85.14,0.05856018621586101,-0.04800278885178731,-0.001676897255677114,0.06745847140175182,5.2823330402969706e-05,,,,19.827751228604882,14.327571842248744,3.779205990506664,0.0,15.795585642418246,5.5001793863561375,5.2823330402969706e-05,0.941439813784139,2.6411665201484853e-05,29.347000783018366,0.0,5.8560186215861005
2023-01-27,11.01,76.96,0.2906630309277413,-0.31304336748597167,0.005481709543915747,0.10125052580157777,3.547651196190063e-05,,,,22.813119129839038,11.672431586695268,1.7091343403070602,0.0,5.755776236618203,11.14068754314377,3.547651196190063e-05,0.7093369690722586,1.7738255980950316e-05,36.63762580749207,0.0,29.06630309277413
2023-01-27,9.93,76.26,0.038226789069877906,0.05979311544287316,-0.24492250795314943,0.38158284303546414,3.8945223083195085e-05,,,,26.177523549397847,22.527406685025028,1.048554788897305,0.0,12.632610322501645,3.6501168643728192,3.8945223083195085e-05,0.9617732109301221,1.9472611541597543e-05,48.43287908881467,0.0,3.8226789069877904
